,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
1244,2024-11-12 08:34:33,,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,2,"Previous Employment (Internship),Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Developed relevant skills,Figured out what I want to do,Made industry connections",,Difficult to find opportunities in my field,,Biology,PhD student in neuroscience
1245,2024-11-12 08:34:13,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Advertisement - Social Media, Website, Listserv,Personal Contact/Direct Correspondence - Faculty",,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have the proper skills,Could not consider unpaid internships",,Interdisciplinary - Global Development Studies,Pre-law/Non-profit consulting
1246,2024-11-12 08:33:57,I have completed:,I would like to complete:,,I have completed:,Fourth Year,,I have been interviewing,,No,School of Engineering and Applied Science,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Mechanical Engineering,HVAC Design
1247,2024-11-12 08:34:19,I would like to complete:,I have completed:,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Environmental Sciences,Climate Policy
1248,2024-11-12 08:34:58,I would like to complete:,I would like to complete:,I would like to complete:,,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Difficult to find opportunities in my field,,Spanish,MPH
1249,2024-11-12 08:34:32,I have completed:,,,I have completed:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,2,"Career Services - Handshake,Career Services - Career Fair,Career Services - Other,Other - Please describe:",IPP Global,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,Lack of networking connections,,Commerce,Consulting
1250,2024-11-12 08:34:08,I would like to complete:,I have completed:,I would like to complete:,I would like to complete:,Third Year,,,,Yes,School of Engineering and Applied Science,I have completed an internship,,3+,"Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections",,Chemical Engineering ,Pharma 
1251,2024-11-12 08:34:07,I would like to complete:,I have completed:,I have completed:,I would like to complete:,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have completed an internship,,3+,"Career Services - Other,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Developed relevant skills,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Behavioral Neuroscience,healthcare data analyst
1252,2024-11-12 08:34:20,I would like to complete:,,,,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,1,"Advertisement - Social Media, Website, Listserv",,,,Yes,Outside Virginia,Figured out what I don't want to do,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Economics,"Banking, Insurance"
1253,2024-11-12 08:34:01,I have completed:,I have completed:,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,Figured out what I don't want to do,,Did not have confidence in interviews,,Biochemistry,Research
1254,2024-11-12 08:35:18,I would like to complete:,,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,Computer Science,Software Engineering
1255,2024-11-12 08:35:04,I have completed:,I would like to complete:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,Career Services - Career Fair,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,Difficult to find opportunities in my field,,Civil Engineering,Sustainability
1256,2024-11-12 08:35:03,I would like to complete:,I would like to complete:,,I would like to complete:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,Yes,School of Architecture,Other - Please describe:,I have not gotten the opportunity to get an internship ,,,,,,,,,,,,Architecture ,Architecture 
1257,2024-11-12 08:35:13,I would like to complete:,,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,1,Other - Please describe:,IPP Program,,,No,Remote/Online,Developed relevant skills,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,"Computer Science, English",Software Development
1258,2024-11-12 08:35:25,I would like to complete:,I would like to complete:,,,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,3+,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Did not know how to navigate the internship search,Did not have the proper skills",,Global Commerce,Consulting
1259,2024-11-12 08:35:58,,,I would like to complete:,I would like to complete:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Biology,Physical therapy
1260,2024-11-12 08:34:04,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Politics,NGO
1261,2024-11-12 08:35:56,I would like to complete:,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,3+,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact/Direct Correspondence - Faculty,Personal Contact/Direct Correspondence - Alumni,Personal Contact/Direct Correspondence - Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,Could not consider unpaid internships,,Behavioral Neuroscience,Psychology
1262,2024-11-12 08:32:07,,I have completed:,,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Faculty,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,Pre-comm,Investment Banking
1263,2024-11-12 08:37:01,,,,,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,evsc,teacher
1264,2024-11-12 08:36:20,,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Previous Employment (Internship),,,,Yes,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Psychology,Social work
